百年孤独,加西亚·马尔克斯,9787020074552,文学,人民文学出版社,1,2024337621001,12,7
中国通史,吕思勉,9787101093220,历史,中华书局,1,2024448932002,8,3
高等数学（第七版）,同济大学数学系,9787040419886,理学,高等教育出版社,0,,10,10
机械原理（第九版）,孙桓,9787040532815,工学,机械工业出版社,1,2024448932002,15,9
Python编程从入门到实践,Eric Matthes,9787115428028,计算机,电子工业出版社,1,2024337621001,7,4
艺术概论（第五版）,彭吉象,9787300280165,艺术,北京大学出版社,1,2024889012006,11,6
活着,余华,9787530208044,文学,北京十月文艺出版社,1,2024337621001,9,5
全球通史,斯塔夫里阿诺斯,9787100056594,历史,商务印书馆,1,2024448932008,13,8
线性代数（第六版）,同济大学数学系,9787040297217,理学,高等教育出版社,1,2024665432004,6,3
材料力学（第六版）,刘鸿文,9787040266633,工学,高等教育出版社,1,2024665432004,14,7
C++ Primer中文版,斯坦利·李普曼,9787111544930,计算机,机械工业出版社,1,2024448932002,5,2
艺术哲学,丹纳,9787108037150,艺术,译林出版社,1,2024778901005,12,5
平凡的世界,路遥,9787020081159,文学,人民文学出版社,1,2024337621007,8,4
简明中国近代史,龚书铎,9787108023399,历史,北京师范大学出版社,0,,11,11
概率论与数理统计,浙江大学,9787040199385,理学,高等教育出版社,1,2024556789003,15,9
理论力学（第八版）,哈工大,9787040259246,工学,高等教育出版社,1,2024665432004,7,4
JavaScript高级程序设计,尼古拉斯·扎卡斯,9787111407010,计算机,机械工业出版社,1,2024337621001,10,6
西方艺术史,阿纳森,9787308051069,艺术,中国人民大学出版社,1,2024778901047,9,4
三体,刘慈欣,9787229044321,文学,重庆出版社,1,2024889012006,14,8
中国历史纲要,翦伯赞,9787101004998,历史,北京大学出版社,1,2024448932002,6,3
普通物理学（第七版）,程守洙,9787040217308,理学,高等教育出版社,1,2024448932026,12,7
工程制图（第六版）,钱可强,9787040314248,工学,高等教育出版社,1,2024556789015,5,2
数据结构（C语言版）,严蔚敏,9787302224126,计算机,清华大学出版社,1,2024665432016,13,7
艺术设计概论,李砚祖,9787111585162,艺术,湖北美术出版社,1,2024337621019,8,4
红与黑,司汤达,9787020074569,文学,人民文学出版社,1,2024889012012,11,6
中国文化史,柳诒徵,9787101081111,历史,上海古籍出版社,1,2024448932014,15,9
有机化学（第五版）,邢其毅,9787040314255,理学,高等教育出版社,1,2024556789027,7,3
机械设计（第十版）,濮良贵,9787040266640,工学,高等教育出版社,1,2024665432028,10,5
算法导论,托马斯·科尔曼,9787111580617,计算机,机械工业出版社,1,2024337621031,12,7
艺术美学,彭吉象,9787300085721,艺术,北京大学出版社,1,2024778901035,6,2
战争与和平,托尔斯泰,9787020074576,文学,人民文学出版社,1,2024889012036,14,8
中国近代史,蒋廷黻,9787101081128,历史,中华书局,1,2024448932038,9,5
分析化学（第六版）,武汉大学,9787040314262,理学,高等教育出版社,1,2024556789039,11,6
流体力学（第二版）,龙天渝,9787040266657,工学,中国建筑工业出版社,1,2024665432040,15,9
深入理解计算机系统,兰德尔·布莱恩特,9787302176129,计算机,机械工业出版社,1,2024337621043,8,4
艺术心理学,鲁道夫·阿恩海姆,9787308051069,艺术,中国人民大学出版社,1,2024778901047,7,1
简·爱,夏洛蒂·勃朗特,9787020022053,文学,人民文学出版社,1,2024889012048,13,7
中国现代史,王桧林,9787100060300,历史,北京师范大学出版社,1,2024448932050,6,3
物理化学（第五版）,傅献彩,9787040314279,理学,高等教育出版社,1,2024556789045,12,6
土木工程材料,张秀芝,9787040290096,工学,中国建筑工业出版社,1,2024665432046,14,8
操作系统概念,亚伯拉罕·西尔伯沙茨,9787111180164,计算机,机械工业出版社,1,2024337621049,5,2
艺术学原理,王一川,9787300101833,艺术,北京师范大学出版社,1,2024778901049,10,5
未命名书籍,,,,,0,,9,9
